,anger,contempt,disgust,fear,happy,neutral,sad,surprise,accuracy,macro avg,weighted avg
precision,0.2521246458923513,0.3650956284153005,0.3015476784822766,0.28289473684210525,0.5159429092013361,0.37013574660633486,0.23186925434116445,0.3538908621246367,0.3569060201015439,0.3341876827381882,0.3368870598472702
recall,0.26387124099957643,0.4188871473354232,0.2492777548493603,0.15081104778605875,0.6774322169059012,0.48942959712804146,0.10075454948956947,0.4534546959040132,0.3569060201015439,0.350489781299743,0.3569060201015439
f1-score,0.2578642384105961,0.3901459854014599,0.2729326705829191,0.1967400629110666,0.5857610756766075,0.42150463758158707,0.14047029702970296,0.39753355096118964,0.3569060201015439,0.3328690648193911,0.33766806766395113
support,2361.0,2552.0,2423.0,2281.0,2508.0,2507.0,2253.0,2417.0,0.3569060201015439,19302.0,19302.0
